"species","trait","class","pct"
"Aporrectodea caliginosa","cocoon_diameter_mm","2-4",60
"Aporrectodea caliginosa","cocoon_diameter_mm","4-6",40
"Aporrectodea caliginosa","epithelium","rigid",0
"Aporrectodea caliginosa","epithelium","supple",100
"Aporrectodea caliginosa","typhlosolis","large_feather",0
"Aporrectodea caliginosa","typhlosolis","simple",100
"Aporrectodea caliginosa","vertical_distribution_cm",">20",10
"Aporrectodea caliginosa","vertical_distribution_cm","0-5",20
"Aporrectodea caliginosa","vertical_distribution_cm","5-20",70
"Aporrectodea giardi","body_length_mm","100-150",0
"Aporrectodea giardi","body_length_mm","150-200",75
"Aporrectodea giardi","body_length_mm","20-50",0
"Aporrectodea giardi","body_length_mm","200-400",25
"Aporrectodea giardi","body_length_mm","50-100",0
"Aporrectodea giardi","body_mass_length_ratio",">15",0
"Aporrectodea giardi","body_mass_length_ratio","1-7",0
"Aporrectodea giardi","body_mass_length_ratio","7-15",100
"Aporrectodea giardi","carbon_pref_mgkg","<20",7
"Aporrectodea giardi","carbon_pref_mgkg",">60",12
"Aporrectodea giardi","carbon_pref_mgkg","20-33.3",26
"Aporrectodea giardi","carbon_pref_mgkg","33.3-60",55
"Aporrectodea giardi","cocoon_diameter_mm","1-2",0
"Aporrectodea giardi","cocoon_diameter_mm","2-4",67
"Aporrectodea giardi","cocoon_diameter_mm","4-6",33
"Aporrectodea giardi","epithelium","rigid",100
"Aporrectodea giardi","epithelium","supple",0
"Aporrectodea giardi","typhlosolis","large_feather",100
"Aporrectodea giardi","typhlosolis","simple",0
"Aporrectodea giardi","vertical_distribution_cm",">20",33
"Aporrectodea giardi","vertical_distribution_cm","0-5",33
"Aporrectodea giardi","vertical_distribution_cm","5-20",33
"Aporrectodea icterica","body_length_mm","100-150",0
"Aporrectodea icterica","body_length_mm","150-200",0
"Aporrectodea icterica","body_length_mm","20-50",0
"Aporrectodea icterica","body_length_mm","200-400",0
"Aporrectodea icterica","body_length_mm","50-100",100
"Aporrectodea icterica","body_mass_length_ratio",">15",0
"Aporrectodea icterica","body_mass_length_ratio","1-7",0
"Aporrectodea icterica","body_mass_length_ratio","7-15",100
"Aporrectodea icterica","carbon_pref_mgkg","<20",4
"Aporrectodea icterica","carbon_pref_mgkg",">60",6
"Aporrectodea icterica","carbon_pref_mgkg","20-33.3",43
"Aporrectodea icterica","carbon_pref_mgkg","33.3-60",47
"Aporrectodea icterica","cocoon_diameter_mm","1-2",0
"Aporrectodea icterica","cocoon_diameter_mm","2-4",73
"Aporrectodea icterica","cocoon_diameter_mm","4-6",27
"Aporrectodea icterica","epithelium","rigid",0
"Aporrectodea icterica","epithelium","supple",100
"Aporrectodea icterica","typhlosolis","large_feather",0
"Aporrectodea icterica","typhlosolis","simple",100
"Aporrectodea icterica","vertical_distribution_cm",">20",10
"Aporrectodea icterica","vertical_distribution_cm","0-5",10
"Aporrectodea icterica","vertical_distribution_cm","5-20",80
"Aporrectodea longa","body_length_mm","100-150",50
"Aporrectodea longa","body_length_mm","150-200",50
"Aporrectodea longa","body_length_mm","20-50",0
"Aporrectodea longa","body_length_mm","200-400",0
"Aporrectodea longa","body_length_mm","50-100",0
"Aporrectodea longa","body_mass_length_ratio",">15",40
"Aporrectodea longa","body_mass_length_ratio","1-7",0
"Aporrectodea longa","body_mass_length_ratio","7-15",60
"Aporrectodea longa","carbon_pref_mgkg","<20",4
"Aporrectodea longa","carbon_pref_mgkg",">60",11
"Aporrectodea longa","carbon_pref_mgkg","20-33.3",28
"Aporrectodea longa","carbon_pref_mgkg","33.3-60",57
"Aporrectodea longa","cocoon_diameter_mm","1-2",0
"Aporrectodea longa","cocoon_diameter_mm","2-4",67
"Aporrectodea longa","cocoon_diameter_mm","4-6",33
"Aporrectodea longa","epithelium","rigid",100
"Aporrectodea longa","epithelium","supple",0
"Aporrectodea longa","typhlosolis","large_feather",100
"Aporrectodea longa","typhlosolis","simple",0
"Aporrectodea longa","vertical_distribution_cm",">20",33
"Aporrectodea longa","vertical_distribution_cm","0-5",33
"Aporrectodea longa","vertical_distribution_cm","5-20",33
"Aporrectodea nocturna","body_length_mm","100-150",50
"Aporrectodea nocturna","body_length_mm","150-200",33
"Aporrectodea nocturna","body_length_mm","20-50",0
"Aporrectodea nocturna","body_length_mm","200-400",0
"Aporrectodea nocturna","body_length_mm","50-100",17
"Aporrectodea nocturna","body_mass_length_ratio",">15",67
"Aporrectodea nocturna","body_mass_length_ratio","1-7",0
"Aporrectodea nocturna","body_mass_length_ratio","7-15",33
"Aporrectodea nocturna","carbon_pref_mgkg","<20",6
"Aporrectodea nocturna","carbon_pref_mgkg",">60",17
"Aporrectodea nocturna","carbon_pref_mgkg","20-33.3",30
"Aporrectodea nocturna","carbon_pref_mgkg","33.3-60",47
"Aporrectodea nocturna","cocoon_diameter_mm","1-2",0
"Aporrectodea nocturna","cocoon_diameter_mm","2-4",73
"Aporrectodea nocturna","cocoon_diameter_mm","4-6",27
"Aporrectodea nocturna","epithelium","rigid",100
"Aporrectodea nocturna","epithelium","supple",0
"Aporrectodea nocturna","typhlosolis","large_feather",100
"Aporrectodea nocturna","typhlosolis","simple",0
"Aporrectodea nocturna","vertical_distribution_cm",">20",33
"Aporrectodea nocturna","vertical_distribution_cm","0-5",33
"Aporrectodea nocturna","vertical_distribution_cm","5-20",33
"Aporrectodea rosea","body_length_mm","100-150",0
"Aporrectodea rosea","body_length_mm","150-200",0
"Aporrectodea rosea","body_length_mm","20-50",50
"Aporrectodea rosea","body_length_mm","200-400",0
"Aporrectodea rosea","body_length_mm","50-100",50
"Aporrectodea rosea","body_mass_length_ratio",">15",0
"Aporrectodea rosea","body_mass_length_ratio","1-7",100
"Aporrectodea rosea","body_mass_length_ratio","7-15",0
"Aporrectodea rosea","carbon_pref_mgkg","<20",4
"Aporrectodea rosea","carbon_pref_mgkg",">60",19
"Aporrectodea rosea","carbon_pref_mgkg","20-33.3",28
"Aporrectodea rosea","carbon_pref_mgkg","33.3-60",49
"Aporrectodea rosea","cocoon_diameter_mm","1-2",0
"Aporrectodea rosea","cocoon_diameter_mm","2-4",100
"Aporrectodea rosea","cocoon_diameter_mm","4-6",0
"Aporrectodea rosea","epithelium","rigid",0
"Aporrectodea rosea","epithelium","supple",100
"Aporrectodea rosea","typhlosolis","large_feather",0
"Aporrectodea rosea","typhlosolis","simple",100
"Aporrectodea rosea","vertical_distribution_cm",">20",20
"Aporrectodea rosea","vertical_distribution_cm","0-5",10
"Aporrectodea rosea","vertical_distribution_cm","5-20",70
"Lumbricus castaneus","body_length_mm","100-150",0
"Lumbricus castaneus","body_length_mm","150-200",0
"Lumbricus castaneus","body_length_mm","20-50",75
"Lumbricus castaneus","body_length_mm","200-400",0
"Lumbricus castaneus","body_length_mm","50-100",25
"Lumbricus castaneus","body_mass_length_ratio",">15",0
"Lumbricus castaneus","body_mass_length_ratio","1-7",100
"Lumbricus castaneus","body_mass_length_ratio","7-15",0
"Lumbricus castaneus","carbon_pref_mgkg","<20",4
"Lumbricus castaneus","carbon_pref_mgkg",">60",22
"Lumbricus castaneus","carbon_pref_mgkg","20-33.3",28
"Lumbricus castaneus","carbon_pref_mgkg","33.3-60",46
"Lumbricus castaneus","cocoon_diameter_mm","1-2",50
"Lumbricus castaneus","cocoon_diameter_mm","2-4",50
"Lumbricus castaneus","cocoon_diameter_mm","4-6",0
"Lumbricus castaneus","epithelium","rigid",0
"Lumbricus castaneus","epithelium","supple",100
"Lumbricus castaneus","typhlosolis","large_feather",100
"Lumbricus castaneus","typhlosolis","simple",0
"Lumbricus castaneus","vertical_distribution_cm",">20",0
"Lumbricus castaneus","vertical_distribution_cm","0-5",100
"Lumbricus castaneus","vertical_distribution_cm","5-20",0
"Lumbricus rubellus","body_length_mm","100-150",40
"Lumbricus rubellus","body_length_mm","150-200",0
"Lumbricus rubellus","body_length_mm","20-50",0
"Lumbricus rubellus","body_length_mm","200-400",0
"Lumbricus rubellus","body_length_mm","50-100",60
"Lumbricus rubellus","body_mass_length_ratio",">15",25
"Lumbricus rubellus","body_mass_length_ratio","1-7",0
"Lumbricus rubellus","body_mass_length_ratio","7-15",75
"Lumbricus rubellus","carbon_pref_mgkg","<20",2
"Lumbricus rubellus","carbon_pref_mgkg",">60",33
"Lumbricus rubellus","carbon_pref_mgkg","20-33.3",19
"Lumbricus rubellus","carbon_pref_mgkg","33.3-60",46
"Lumbricus rubellus","cocoon_diameter_mm","1-2",50
"Lumbricus rubellus","cocoon_diameter_mm","2-4",50
"Lumbricus rubellus","cocoon_diameter_mm","4-6",0
"Lumbricus rubellus","epithelium","rigid",0
"Lumbricus rubellus","epithelium","supple",100
"Lumbricus rubellus","typhlosolis","large_feather",100
"Lumbricus rubellus","typhlosolis","simple",0
"Lumbricus rubellus","vertical_distribution_cm",">20",0
"Lumbricus rubellus","vertical_distribution_cm","0-5",80
"Lumbricus rubellus","vertical_distribution_cm","5-20",20
"Lumbricus terrestris","body_length_mm","100-150",33
"Lumbricus terrestris","body_length_mm","150-200",50
"Lumbricus terrestris","body_length_mm","20-50",0
"Lumbricus terrestris","body_length_mm","200-400",17
"Lumbricus terrestris","body_length_mm","50-100",0
"Lumbricus terrestris","body_mass_length_ratio",">15",100
"Lumbricus terrestris","body_mass_length_ratio","1-7",0
"Lumbricus terrestris","body_mass_length_ratio","7-15",0
"Lumbricus terrestris","carbon_pref_mgkg","<20",4
"Lumbricus terrestris","carbon_pref_mgkg",">60",11
"Lumbricus terrestris","carbon_pref_mgkg","20-33.3",33
"Lumbricus terrestris","carbon_pref_mgkg","33.3-60",52
"Lumbricus terrestris","cocoon_diameter_mm","1-2",0
"Lumbricus terrestris","cocoon_diameter_mm","2-4",33
"Lumbricus terrestris","cocoon_diameter_mm","4-6",67
"Lumbricus terrestris","epithelium","rigid",100
"Lumbricus terrestris","epithelium","supple",0
"Lumbricus terrestris","typhlosolis","large_feather",100
"Lumbricus terrestris","typhlosolis","simple",0
"Lumbricus terrestris","vertical_distribution_cm",">20",20
"Lumbricus terrestris","vertical_distribution_cm","0-5",40
"Lumbricus terrestris","vertical_distribution_cm","5-20",40
"Satchellius mammalis","body_length_mm","100-150",0
"Satchellius mammalis","body_length_mm","150-200",0
"Satchellius mammalis","body_length_mm","20-50",100
"Satchellius mammalis","body_length_mm","200-400",0
"Satchellius mammalis","body_length_mm","50-100",0
"Satchellius mammalis","body_mass_length_ratio",">15",0
"Satchellius mammalis","body_mass_length_ratio","1-7",100
"Satchellius mammalis","body_mass_length_ratio","7-15",0
"Satchellius mammalis","carbon_pref_mgkg","<20",4
"Satchellius mammalis","carbon_pref_mgkg",">60",15
"Satchellius mammalis","carbon_pref_mgkg","20-33.3",24
"Satchellius mammalis","carbon_pref_mgkg","33.3-60",57
"Satchellius mammalis","cocoon_diameter_mm","1-2",60
"Satchellius mammalis","cocoon_diameter_mm","2-4",40
"Satchellius mammalis","cocoon_diameter_mm","4-6",0
"Satchellius mammalis","epithelium","rigid",0
"Satchellius mammalis","epithelium","supple",100
"Satchellius mammalis","typhlosolis","large_feather",100
"Satchellius mammalis","typhlosolis","simple",0
"Satchellius mammalis","vertical_distribution_cm",">20",0
"Satchellius mammalis","vertical_distribution_cm","0-5",100
"Satchellius mammalis","vertical_distribution_cm","5-20",0
